ifile	run	class	subcxi	event	indby	phoen	bmdv	bmbw	aclen	npeak	ltype	cent	a	b	c	alpha	beta	gamma	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	sfile	istart	iend	cstart	cend	pstart	pend	rstart	rend	multi	/cheetah/frameNumber	/LCLS/machineTime
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	562	mosflm-comb-latt-nocell-retry-multi-refine	9476.332031	0.000000	0.000000	0	223	orthorhombic	P	12.989050	22.638941	30.838610	90.237190	90.053360	90.014900	0.005250	-0.004000	-0.015000	2.360000	6002	0	19	-0.073379	-0.012114	0.019898	0.011362	0.001190	0.042669	-0.005149	0.032010	0.000617	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	18848264	-1	18859110	19329928	18848765	18859093	18859660	19329893	1	20442	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	559	mosflm-comb-latt-nocell-retry-multi-refine	9475.132812	0.000000	0.000000	0	166	orthorhombic	P	13.003050	22.731171	30.774580	90.006203	90.658791	89.588280	0.008070	0.011000	0.028000	2.010000	9200	0	45	-0.073969	-0.021055	-0.000861	0.010725	-0.035561	-0.023575	0.004114	-0.016941	0.027424	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	19329950	-1	19338174	20059489	19330451	19338157	19338722	20059454	1	20435	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	579	mosflm-comb-latt-nocell-retry-multi-refine	9478.948242	0.000000	0.000000	0	159	orthorhombic	P	13.015910	22.641451	30.848089	90.079163	90.057770	90.234673	0.005980	-0.003000	-0.012000	2.010000	6925	0	39	0.059399	0.043430	-0.022100	-0.016787	0.034452	0.021954	0.016391	-0.008860	0.026527	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	26967900	-1	26975802	27518881	26968401	26975785	26976352	27518846	1	20471	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	587	mosflm-comb-latt-nocell-retry-multi-refine	9473.366211	0.000000	0.000000	0	229	orthorhombic	P	13.035070	22.688490	30.761480	90.208389	90.174049	89.812668	0.004420	-0.006000	-0.018000	2.250000	5035	0	26	-0.039031	-0.039671	0.052804	0.036365	-0.002520	0.024778	-0.008124	0.027701	0.014949	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	28329899	-1	28341021	28736064	28330400	28341004	28341571	28736029	1	20487	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	588	mosflm-comb-latt-nocell-retry-multi-refine	9480.937500	0.000000	0.000000	0	240	orthorhombic	P	13.019800	22.730961	30.839870	90.194397	90.003403	89.944557	0.005990	-0.007000	-0.007000	2.430000	6927	0	32	-0.074996	-0.010218	0.013050	0.008252	-0.005506	0.042860	-0.003494	0.031865	0.004879	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	28743182	-1	28754810	29298029	28743683	28754793	28755360	29297994	1	20486	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	592	mosflm-comb-latt-nocell-retry-multi-refine	9471.008789	0.000000	0.000000	0	288	orthorhombic	P	13.011930	22.649281	30.827490	90.107452	90.008560	89.937897	0.006360	0.006000	-0.005000	2.400000	7426	0	35	0.009479	-0.075375	-0.011623	-0.001363	0.006606	-0.043633	0.032174	0.004110	-0.000444	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	29454415	-1	29468251	30050559	29454916	29468234	29468800	30050524	1	20490	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	594	mosflm-comb-latt-nocell-retry-multi-refine	9477.601562	0.000000	0.000000	0	240	orthorhombic	P	13.034740	22.698771	30.849409	90.082100	90.098900	89.847481	0.008650	0.002000	-0.004000	2.350000	9784	0	84	-0.037010	-0.029603	0.060329	0.025617	0.023474	0.027085	-0.021272	0.024440	-0.000987	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	30050581	-1	30062209	30829436	30051082	30062192	30062758	30829401	1	20506	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	591	mosflm-comb-latt-nocell-retry-multi-refine	9473.659180	0.000000	0.000000	0	71	orthorhombic	P	13.019280	22.734591	30.860661	90.476662	90.147423	90.344238	0.001620	0.021000	-0.013000	2.210000	1815	0	6	-0.064903	-0.036305	0.019220	0.007932	0.007790	0.042560	-0.016277	0.027962	-0.001806	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	30829458	-1	30833311	30976171	30829958	30833294	30833859	30976136	1	20491	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	596	mosflm-comb-latt-nocell-retry-multi-refine	9471.579102	0.000000	0.000000	0	183	orthorhombic	P	13.037120	22.775410	30.882580	90.228699	90.110191	89.913017	0.005390	0.002000	-0.008000	2.320000	6348	0	21	-0.050386	-0.043301	-0.038338	0.024051	0.004418	-0.036468	0.016841	-0.026554	0.007734	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	30976193	-1	30985199	31483112	30976694	30985182	30985748	31483077	1	20505	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	599	mosflm-comb-latt-nocell-retry-multi-refine	9479.142578	0.000000	0.000000	0	155	orthorhombic	P	12.971210	22.773550	30.849840	90.319733	90.108124	90.391701	0.004420	0.011000	-0.018000	2.180000	4743	0	19	0.043680	0.004599	-0.063361	0.021942	-0.036046	0.012145	-0.021209	-0.018536	-0.016042	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	32290792	-1	32298511	32670815	32291294	32298494	32299060	32670780	1	20507	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	609	mosflm-comb-latt-nocell-retry-multi-refine	9463.317383	0.000000	0.000000	0	191	orthorhombic	P	13.100440	22.538481	30.904070	90.229523	89.808998	90.123703	0.009290	0.022000	0.003000	2.210000	10565	0	37	-0.038644	-0.037338	-0.054216	-0.022272	-0.022392	0.031163	-0.022726	0.023030	0.000490	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	32699228	-1	32708603	33536772	32699730	32708586	32709152	33536737	1	20525	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	627	mosflm-comb-latt-nocell-retry-multi-refine	9473.181641	0.000000	0.000000	0	165	orthorhombic	P	13.162510	22.658100	30.471001	90.197456	90.144478	90.025864	0.006560	-0.015000	-0.025000	2.060000	7465	0	19	0.037922	0.038020	-0.053744	-0.030977	0.031435	0.000352	0.016629	0.016286	0.023137	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	33600866	-1	33609046	34194531	33601368	33609029	33609596	34194496	1	20549	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	632	mosflm-comb-latt-nocell-retry-multi-refine	9477.169922	0.000000	0.000000	0	227	orthorhombic	P	13.068260	22.756701	30.840870	89.954491	89.957764	90.104820	0.006890	-0.001000	-0.000000	2.080000	7959	0	40	0.033572	0.047582	-0.049642	-0.033580	0.028053	0.004056	0.015298	0.014730	0.024502	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	34749538	-1	34760570	35384644	34750040	34760553	34761120	35384609	1	20557	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	629	mosflm-comb-latt-nocell-retry-multi-refine	9479.249023	0.000000	0.000000	0	266	orthorhombic	P	13.378300	22.765921	30.557520	90.748772	90.154381	90.850517	0.018880	0.036000	0.057000	2.260000	21459	0	140	-0.019681	-0.055577	-0.045961	0.019260	-0.029452	0.026303	-0.027892	-0.004015	0.016645	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	35955445	-1	35968270	37649893	35955947	35968253	35968820	37649858	1	20552	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	629	mosflm-comb-latt-nocell-retry-multi-refine	9479.249023	0.000000	0.000000	0	266	orthorhombic	P	13.102470	22.758030	30.701710	90.136108	89.648216	90.014450	0.018220	-0.050000	-0.064000	2.040000	19868	0	91	-0.043082	-0.061831	0.012087	0.034172	-0.025768	-0.009952	0.009174	-0.000036	0.031254	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	35955445	-1	37649893	39206989	35955947	35968253	37650444	39206954	2	20552	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	653	mosflm-comb-latt-nocell-retry-multi-refine	9479.683594	0.000000	0.000000	0	223	orthorhombic	P	13.020880	22.771799	30.857790	89.943207	90.183456	90.282921	0.005410	0.007000	-0.015000	2.380000	6232	0	45	-0.000327	0.050007	0.058288	-0.011127	0.032352	-0.027532	-0.031341	-0.006275	0.005344	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	42617097	-1	42627944	43116822	42617599	42627927	42628493	43116787	1	20585	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	656	mosflm-comb-latt-nocell-retry-multi-refine	9477.725586	0.000000	0.000000	0	205	orthorhombic	P	13.110920	22.732500	30.773830	90.010582	90.217751	89.971260	0.004510	0.014000	-0.001000	2.180000	4463	0	61	-0.037430	0.001901	-0.066430	0.002983	0.043887	-0.000399	0.028168	-0.002055	-0.016072	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	43630499	-1	43640518	43990997	43631001	43640501	43641067	43990962	1	20590	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	657	mosflm-comb-latt-nocell-retry-multi-refine	9482.231445	0.000000	0.000000	0	134	orthorhombic	P	13.046050	22.611990	30.887739	89.946640	89.854187	90.176147	0.004330	-0.010000	-0.025000	2.260000	4882	0	23	0.038412	0.032174	-0.058008	-0.020063	-0.027180	-0.028540	-0.023855	0.021569	-0.003724	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	43991019	-1	43997772	44380871	43991521	43997755	43998322	44380836	1	20588	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	672	mosflm-comb-latt-nocell-retry-multi-refine	9480.749023	0.000000	0.000000	0	239	orthorhombic	P	13.012230	22.740789	30.892691	90.112411	90.032021	90.153427	0.005630	0.002000	-0.005000	2.290000	6260	0	44	0.042112	0.019471	-0.061266	0.027743	-0.033064	0.008414	-0.017784	-0.019718	-0.018514	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	46755066	-1	46766649	47257785	46755568	46766632	46767198	47257750	1	20666	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	673	mosflm-comb-latt-nocell-retry-multi-refine	9480.243164	0.000000	0.000000	0	221	orthorhombic	P	13.030970	22.714439	30.877600	90.130722	89.893112	90.111122	0.009590	-0.012000	-0.003000	2.440000	11163	0	93	-0.045167	0.035347	0.050987	-0.022419	0.018904	-0.032837	-0.020367	-0.025170	-0.000684	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	47265806	-1	47276561	48151585	47266308	47276544	47277112	48151550	1	20671	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	695	mosflm-comb-latt-nocell-retry-multi-refine	9475.941406	0.000000	0.000000	0	346	orthorhombic	P	13.125970	22.620371	30.901270	89.983253	89.991318	90.029381	0.013640	0.000000	-0.007000	2.160000	15912	0	128	0.048751	-0.028769	0.050988	0.022723	-0.019352	-0.032611	0.018488	0.026415	-0.002780	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	51462359	-1	51478864	52725916	51462861	51478847	51479415	52725881	1	20695	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	698	mosflm-comb-latt-nocell-retry-multi-refine	9474.870117	0.000000	0.000000	0	217	orthorhombic	P	13.167630	22.748079	30.664860	90.056053	89.811562	90.190582	0.006940	0.014000	-0.021000	2.000000	7711	0	74	0.021987	-0.046013	0.056276	-0.036435	-0.024036	-0.005220	0.015501	-0.018860	-0.021621	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	52739045	-1	52749616	53354366	52739547	52749599	52750165	53354331	1	20699	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	718	mosflm-comb-latt-nocell-retry-multi-refine	9474.376953	0.000000	0.000000	0	167	orthorhombic	P	13.021810	22.603479	30.846519	90.522720	89.881897	90.480431	0.005210	0.012000	-0.018000	2.190000	5987	0	31	0.002974	-0.076547	0.005426	-0.001233	-0.003544	-0.044085	0.032371	0.001230	-0.001300	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	57279566	-1	57287837	57757436	57280068	57287820	57288386	57757401	1	20725	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	735	mosflm-comb-latt-nocell-retry-multi-refine	9480.037109	0.000000	0.000000	0	396	orthorhombic	P	13.030740	22.604601	30.833651	90.100838	90.099930	89.987831	0.007470	0.002000	0.004000	2.450000	8617	0	53	-0.014669	-0.061523	-0.043462	0.004722	0.024631	-0.036443	0.031641	-0.007081	-0.000755	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	59757854	-1	59776659	60452301	59758356	59776642	59777207	60452266	1	20762	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	734	mosflm-comb-latt-nocell-retry-multi-refine	9478.343750	0.000000	0.000000	0	175	orthorhombic	P	13.086420	22.669960	30.655001	90.418739	90.036057	90.174248	0.006900	0.012000	0.000000	2.000000	7696	0	50	-0.038536	0.039225	-0.053064	0.031260	0.031125	0.000112	0.016184	-0.015832	-0.023487	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	60452323	-1	60460962	61064452	60452825	60460945	60461510	61064417	1	20763	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	740	mosflm-comb-latt-nocell-retry-multi-refine	9485.887695	0.000000	0.000000	0	241	orthorhombic	P	13.035490	22.677120	30.826771	90.138298	90.120872	89.933357	0.005270	0.007000	-0.007000	2.450000	6063	0	46	-0.042361	-0.049112	-0.040970	0.010160	0.022034	-0.036822	0.025978	-0.018954	-0.004267	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	63403656	-1	63415332	63890927	63404158	63415315	63415881	63890892	1	20768	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	741	mosflm-comb-latt-nocell-retry-multi-refine	9482.657227	0.000000	0.000000	0	200	orthorhombic	P	13.096570	22.725361	30.705271	90.027977	90.080597	90.029877	0.005650	0.007000	-0.015000	2.030000	6618	0	50	-0.037372	0.049091	-0.044986	-0.031946	-0.029683	-0.005892	-0.015781	0.011814	0.025924	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	64730240	-1	64740029	65259077	64730742	64740012	64740578	65259042	1	20774	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	744	mosflm-comb-latt-nocell-retry-multi-refine	9475.199219	0.000000	0.000000	0	181	orthorhombic	P	13.182280	22.717920	30.926229	89.825478	90.755508	90.247177	0.007230	-0.010000	-0.007000	2.290000	6998	0	85	0.003296	0.014883	-0.074319	-0.026287	0.034857	0.005623	0.025971	0.018742	0.004470	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	65786754	-1	65795669	66344932	65787256	65795652	65796219	66344897	1	20779	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	756	mosflm-comb-latt-nocell-retry-multi-refine	9483.589844	0.000000	0.000000	0	199	orthorhombic	P	13.071160	22.728081	30.851780	90.091087	90.022972	90.003128	0.008600	0.007000	-0.014000	2.210000	10104	0	38	-0.030898	-0.056255	-0.041636	0.004537	0.024396	-0.036334	0.029463	-0.012611	-0.004850	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	68876730	-1	68886473	69678600	68877232	68886456	68887023	69678565	1	20801	1506768128
