ifile	run	class	subcxi	event	indby	phoen	bmdv	bmbw	aclen	npeak	ltype	cent	a	b	c	alpha	beta	gamma	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	sfile	istart	iend	cstart	cend	pstart	pend	rstart	rend	multi	multiid	/cheetah/frameNumber	/LCLS/machineTime
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	509	mosflm-comb-latt-nocell-retry-multi-refine	9482.267357	0.00e+00	1.00e-08	0.120982	62	orthorhombic	P	12.99043	22.64555	30.65181	90.14126	90.12688	90.27943	0.00647	0.036	-0.027	1.13	7482	0	11	+0.0127559	-0.0743724	-0.0152345	-0.0404603	-0.0101335	+0.0145029	-0.0118950	+0.0040519	-0.0301075	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	1266072	1856320	1269511	1856298	1266572	1269494	1270060	1856263	1	1	20363	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	511	none	9484.300353	0.00e+00	1.00e-08	0.120982	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	1856320	1857719	-1	-1	1856782	1857680	-1	-1	0	0	20365	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	512	none	9472.262230	0.00e+00	1.00e-08	0.120982	105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	1857719	1863121	-1	-1	1858182	1863082	-1	-1	0	0	20366	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	518	none	9476.914468	0.00e+00	1.00e-08	0.120982	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	1863121	1865027	-1	-1	1863583	1864988	-1	-1	0	0	20373	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	516	mosflm-comb-latt-nocell-retry-multi-refine	9479.529492	0.00e+00	1.00e-08	0.120982	172	orthorhombic	P	13.08323	22.65076	30.75010	90.62347	90.56246	89.76108	0.00666	-0.004	-0.025	1.49	7672	0	36	+0.0475516	+0.0323961	-0.0503201	-0.0235917	+0.0372680	+0.0019720	+0.0186960	+0.0109698	+0.0242470	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	1865027	2475196	1873527	2475174	1865528	1873510	1874077	2475139	1	1	20371	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	515	none	9483.782664	0.00e+00	1.00e-08	0.120982	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2475196	2476549	-1	-1	2475658	2476510	-1	-1	0	0	20370	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	514	none	9476.601126	0.00e+00	1.00e-08	0.120982	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2476549	2478730	-1	-1	2477011	2478691	-1	-1	0	0	20369	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	513	none	9483.403281	0.00e+00	1.00e-08	0.120982	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2478730	2480774	-1	-1	2479192	2480735	-1	-1	0	0	20367	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	517	none	9485.561726	0.00e+00	1.00e-08	0.120982	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2480774	2482358	-1	-1	2481236	2482319	-1	-1	0	0	20372	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	520	none	9469.226102	0.00e+00	1.00e-08	0.120982	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2482358	2483758	-1	-1	2482820	2483719	-1	-1	0	0	20375	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	519	mosflm-comb-latt-nocell-retry-multi-refine	9485.654819	0.00e+00	1.00e-08	0.120982	92	orthorhombic	P	12.97908	22.50813	30.85326	90.64497	90.13915	89.33326	0.00569	0.022	0.014	1.22	6463	0	19	+0.0090591	+0.0753267	-0.0134502	-0.0413331	+0.0070676	+0.0146977	+0.0110512	+0.0041377	+0.0301893	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2483758	2995485	2488577	2995463	2484258	2488560	2489125	2995428	1	1	20374	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	524	none	9478.159151	0.00e+00	1.00e-08	0.120982	116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	2995485	3001393	-1	-1	2995948	3001354	-1	-1	0	0	20379	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	521	mosflm-comb-latt-nocell-retry-multi-refine	9476.816256	0.00e+00	1.00e-08	0.120982	123	orthorhombic	P	12.98468	22.67099	30.75906	89.96499	89.90367	90.22759	0.00466	-0.003	-0.006	2.04	5234	0	28	+0.0372739	+0.0422624	-0.0524957	-0.0319049	+0.0304178	+0.0015775	+0.0159078	+0.0154225	+0.0237916	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	3001393	3418365	3007640	3418343	3001894	3007623	3008190	3418308	1	1	20377	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	523	mosflm-comb-latt-nocell-retry-multi-refine	9478.744572	0.00e+00	1.00e-08	0.120982	178	orthorhombic	P	13.00805	22.66182	30.79715	90.19774	90.00668	90.30694	0.00730	0.006	-0.012	2.14	7414	0	60	+0.0255410	+0.0263074	-0.0675691	+0.0372332	-0.0231988	+0.0047729	-0.0137061	-0.0253050	-0.0150382	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	3418365	4008865	3427141	4008843	3418866	3427124	3427690	4008808	1	1	20380	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	522	mosflm-comb-latt-nocell-retry-multi-refine	9476.306711	0.00e+00	1.00e-08	0.120982	203	orthorhombic	P	12.95457	22.61101	30.78698	90.13016	89.74426	89.96351	0.00621	0.004	0.001	2.20	6644	0	28	+0.0108477	+0.0447600	-0.0619494	-0.0353455	+0.0240858	+0.0112491	+0.0189072	+0.0196276	+0.0176729	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4008865	4539960	4018791	4539938	4009366	4018774	4019339	4539903	1	1	20378	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	526	none	9472.502437	0.00e+00	1.00e-08	0.120982	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4539960	4541313	-1	-1	4540422	4541274	-1	-1	0	0	20396	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	525	none	9474.736947	0.00e+00	1.00e-08	0.120982	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4541313	4542574	-1	-1	4541775	4542535	-1	-1	0	0	20399	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	527	none	9477.041506	0.00e+00	1.00e-08	0.120982	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4542574	4543835	-1	-1	4543036	4543796	-1	-1	0	0	20393	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	528	none	9479.053775	0.00e+00	1.00e-08	0.120982	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4543835	4545188	-1	-1	4544297	4545149	-1	-1	0	0	20395	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	529	none	9486.546960	0.00e+00	1.00e-08	0.120982	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4545188	4546633	-1	-1	4545650	4546594	-1	-1	0	0	20398	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	532	none	9466.747063	0.00e+00	1.00e-08	0.120982	123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4546633	4552863	-1	-1	4547096	4552824	-1	-1	0	0	20405	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	530	mosflm-comb-latt-nocell-retry-multi-refine	9468.710792	0.00e+00	1.00e-08	0.120982	109	orthorhombic	P	13.04859	22.49983	30.81872	90.63688	90.22154	89.50097	0.00348	0.010	0.010	1.70	3776	0	24	-0.0514860	-0.0080470	-0.0561973	-0.0084171	-0.0412879	+0.0141489	-0.0233386	+0.0110964	+0.0196262	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4552863	4854960	4558466	4854938	4553364	4558449	4559014	4854903	1	1	20397	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	531	none	9475.805691	0.00e+00	1.00e-08	0.120982	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4854960	4856359	-1	-1	4855422	4856320	-1	-1	0	0	20404	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	533	mosflm-comb-latt-nocell-retry-multi-refine	9479.701849	0.00e+00	1.00e-08	0.120982	118	orthorhombic	P	13.15261	22.67725	30.69454	90.63857	90.26793	89.23290	0.00609	0.009	-0.018	1.34	7016	0	45	+0.0527128	+0.0208344	+0.0506862	+0.0203711	-0.0386241	-0.0061917	+0.0180404	+0.0129264	-0.0238538	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4856359	5412640	4862375	5412618	4856860	4862358	4862924	5412583	1	1	20406	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	537	mosflm-comb-latt-nocell-retry-multi-refine	9479.836684	0.00e+00	1.00e-08	0.120982	172	orthorhombic	P	12.96035	22.55780	31.14790	90.29706	89.71972	89.45728	0.00589	0.029	-0.011	1.49	6881	0	19	+0.0546723	+0.0474464	-0.0267185	-0.0201374	+0.0339164	+0.0202384	+0.0173304	-0.0053043	+0.0265009	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	5412640	5960812	5421140	5960790	5413141	5421123	5421689	5960755	1	1	20410	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	538	mosflm-comb-latt-nocell-retry-multi-refine	9475.014185	0.00e+00	1.00e-08	0.120982	197	orthorhombic	P	13.00488	22.79088	30.73012	90.28148	90.09787	90.80125	0.01022	-0.030	-0.001	1.84	11801	0	54	-0.0682100	+0.0316881	-0.0160361	-0.0174883	-0.0179165	+0.0360387	+0.0081295	+0.0263690	+0.0172499	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	5960812	6895534	5970462	6895512	5961313	5970445	5971013	6895477	1	1	20412	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	534	mosflm-comb-latt-nocell-retry-multi-refine	9475.596641	0.00e+00	1.00e-08	0.120982	203	orthorhombic	P	13.19146	22.60897	30.56432	90.45639	89.76092	90.45823	0.00787	0.025	-0.014	1.81	8819	0	57	-0.0486791	-0.0094750	-0.0573383	-0.0149260	-0.0373623	+0.0183802	-0.0226024	+0.0168776	+0.0165778	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	6895534	7597016	6905461	7596994	6896035	6905444	6906010	7596959	1	1	20408	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	535	mosflm-comb-latt-nocell-retry-multi-refine	9476.243433	0.00e+00	1.00e-08	0.120982	76	orthorhombic	P	12.99919	22.88790	30.67713	90.53362	90.55158	89.72910	0.00497	-0.032	0.001	1.32	5705	0	37	+0.0534245	+0.0552810	-0.0028990	+0.0264637	-0.0245668	+0.0246023	+0.0129003	-0.0134354	-0.0267557	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	7597016	8048659	7601099	8048637	7597516	7601082	7601648	8048602	1	1	20409	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	536	mosflm-comb-latt-nocell-retry-multi-refine	9479.861177	0.00e+00	1.00e-08	0.120982	148	orthorhombic	P	13.24972	22.60051	30.88375	90.44190	89.32780	90.76308	0.01209	0.001	0.007	2.19	14299	0	101	-0.0381209	-0.0343380	+0.0553688	-0.0232764	-0.0232136	-0.0296239	+0.0223818	-0.0233996	+0.0003845	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	8048659	9176973	8056055	9176951	8049160	8056038	8056605	9176916	1	1	20407	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	539	mosflm-comb-latt-nocell-retry-multi-refine	9479.186041	0.00e+00	1.00e-08	0.120982	187	orthorhombic	P	13.03352	22.63981	30.80282	89.83133	90.09083	89.96623	0.00570	-0.007	-0.006	2.00	6563	0	44	+0.0037476	+0.0766225	-0.0013128	+0.0370048	-0.0014236	+0.0240754	+0.0175759	-0.0012752	-0.0272657	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	9176973	9700922	9186163	9700900	9177474	9186146	9186713	9700865	1	1	20413	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	540	none	9472.946704	0.00e+00	1.00e-08	0.120982	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	9700922	9702184	-1	-1	9701384	9702145	-1	-1	0	0	20414	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	545	none	9478.105844	0.00e+00	1.00e-08	0.120982	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	9702184	9705515	-1	-1	9702646	9705476	-1	-1	0	0	20419	1506768165	
